"event","experiment time","system time","system time text"
"START",0.000000000E0,1706981087.059,"2024-02-03 19:24:47.059 UTC+02:00"
"PAUSE",4.666360577E1,1706981133.723,"2024-02-03 19:25:33.723 UTC+02:00"
