"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.604796120E-1,2.136436939E0,1.423761010E0,-5.816869736E-1,2.632454737E0
3.654195300E-1,2.087616920E0,1.418859005E0,-6.972230077E-1,2.618668594E0
3.703595300E-1,2.039052963E0,1.414031982E0,-7.445449829E-1,2.590669926E0
3.752992990E-1,2.044483900E0,1.368494034E0,-6.829820275E-1,2.553263556E0
3.802392940E-1,2.117703915E0,1.390576959E0,-6.349750161E-1,2.611813052E0
3.851792940E-1,2.148797035E0,1.466927052E0,-6.825050116E-1,2.689798647E0
3.901192170E-1,2.273148060E0,1.570719957E0,-7.032309771E-1,2.851122076E0
3.950592030E-1,2.367611885E0,1.702541947E0,-6.973440051E-1,2.998420214E0
3.999992030E-1,2.351149082E0,1.890022039E0,-6.102460027E-1,3.077740324E0
4.049389870E-1,2.196407080E0,1.970659971E0,-2.105289996E-1,2.958382538E0
4.098789870E-1,1.864637971E0,1.917225003E0,4.069460034E-1,2.705223008E0
4.148189870E-1,1.521777034E0,1.893177986E0,6.297929883E-1,2.509296203E0
4.197589870E-1,1.184167981E0,1.884166002E0,6.221150160E-1,2.310706045E0
4.246989100E-1,8.916659951E-1,1.849604964E0,6.696550250E-1,2.159755686E0
4.296389100E-1,7.121559978E-1,1.802724957E0,5.953440070E-1,2.027663168E0
4.345789100E-1,6.309069991E-1,1.743101001E0,5.624409914E-1,1.937210523E0
4.395186790E-1,7.156010270E-1,1.710546970E0,5.709969997E-1,1.940127146E0
4.444586640E-1,7.608330250E-1,1.718539953E0,5.254549980E-1,1.951499274E0
4.493986640E-1,8.617039919E-1,1.712234020E0,4.666720033E-1,1.972830927E0
4.543386110E-1,9.357169867E-1,1.691735983E0,5.170509815E-1,2.001219286E0
4.592786110E-1,9.963619709E-1,1.628800988E0,6.494489908E-1,2.016807831E0
4.642183800E-1,1.016168952E0,1.564851046E0,8.228790164E-1,2.039237115E0
4.691583700E-1,1.063277960E0,1.499469042E0,9.829130173E-1,2.084486850E0
4.740983700E-1,1.028982043E0,1.364771962E0,1.442832947E0,2.236777474E0
4.790382930E-1,9.285709858E-1,1.160506964E0,1.916960001E0,2.425645509E0
4.839780630E-1,9.263619781E-1,9.957200289E-1,1.601842046E0,2.101309789E0
4.889180630E-1,9.514480233E-1,8.296239972E-1,1.273280025E0,1.792978343E0
4.938583070E-1,9.598709941E-1,7.165470123E-1,1.366539955E0,1.817202079E0
4.987980770E-1,9.514179826E-1,6.699860096E-1,1.650050044E0,2.019094495E0
5.037379860E-1,9.555590153E-1,7.307059765E-1,1.947185993E0,2.288789538E0
5.086779860E-1,1.110532045E0,1.008257031E0,2.067584991E0,2.554363201E0
5.136177550E-1,1.402886033E0,1.352807999E0,2.133857965E0,2.889901126E0
5.185577550E-1,1.641348004E0,1.559744954E0,2.227644920E0,3.176354748E0
5.234977550E-1,1.743381023E0,1.751765966E0,2.253434896E0,3.344552321E0
5.284377310E-1,1.789896011E0,1.942309976E0,2.333682060E0,3.524537946E0
5.333776540E-1,1.807227015E0,2.063220978E0,2.372880936E0,3.626777388E0
5.383174230E-1,1.821586967E0,2.127634048E0,2.479868889E0,3.740956486E0
5.432574230E-1,1.805274010E0,2.162472963E0,2.600126982E0,3.833531517E0
5.481974230E-1,1.799039960E0,2.112760067E0,2.760953903E0,3.914481617E0
5.531374230E-1,1.776460052E0,2.046159983E0,2.908096075E0,3.974871541E0
5.580773130E-1,1.861034036E0,1.989788055E0,3.068998098E0,4.103834002E0
5.630173130E-1,1.932286978E0,1.903030038E0,3.094202995E0,4.114528948E0
5.679573080E-1,2.045591116E0,1.826578021E0,3.120100975E0,4.154017378E0
5.728970770E-1,2.256966114E0,1.896553040E0,3.078876019E0,4.262661963E0
5.778370680E-1,2.430557013E0,1.908447981E0,2.943375111E0,4.267697052E0
5.827770680E-1,2.540164948E0,1.836339951E0,2.713623047E0,4.145881380E0
5.877169910E-1,2.503554106E0,1.680564046E0,2.471216917E0,3.898588427E0
